,-1,0,1,2
"[19.0, 28.0, 10.0, 18.0]",5.05864650535,51.0934375172,3.65111089912,5.76056462972
"[24.0, 32.0, 9.0, 23.0]",4.40364300108,59.3972367594,5.86153035625,9.56616554311
"[5.0, 18.0, 0.0, 18.0]",9.42592213426,1.56519867866,69.7319660575,10.0696478459
"[-23.0, 37.0, 28.0, 9.0]",-3.2182052547,74.6827393959,16.4816252639,-14.9941809024
"[8.0, 29.0, 7.0, 22.0]",22.9105964268,189.392494701,35.5143334385,31.0162451751
"[-3.0, 27.0, 24.0, 3.0]",27.7862034423,49.6873438287,213.004207553,14.7166062057
"[-13.0, 20.0, 3.0, 17.0]",38.467226234,236.980234355,41.4508590534,64.5285280733
"[79.0, 111.0, 29.0, 82.0]",64.0503235625,49.5170027688,36.8593024598,268.514776751
"[56.0, 79.0, 9.0, 70.0]",223.787490586,60.2418710564,67.2306218282,49.1447634531
"[28.0, 47.0, 6.0, 41.0]",174.45615964,37.0111412195,35.2377535664,38.9234714247
"[-14.0, 44.0, 36.0, 8.0]",35.4300672561,38.2338420204,132.11728808,36.054336786
"[18.0, 43.0, 0.0, 43.0]",82.6307183411,14.7235888252,9.67889115733,17.256305461
"[-18.0, 23.0, 26.0, -3.0]",10.2695338011,7.76801333079,13.6197763365,57.5823419767
"[-27.0, 54.0, 35.0, 19.0]",43.9988259165,10.1451018478,11.3478838104,9.31309631998
"[-10.0, 21.0, 13.0, 8.0]",9.26794325974,10.9440134795,33.9896927117,9.08322041422
"[7.0, 21.0, 14.0, 7.0]",7.29954676115,11.2818345829,51.2905568009,10.1679703637
"[-5.0, 27.0, 11.0, 16.0]",55.3619494849,14.5553703937,12.9272687527,13.422670525
"[13.0, 28.0, 12.0, 16.0]",8.63666618307,12.0269352696,60.1985047714,10.2186066791
"[6.0, 9.0, 5.0, 4.0]",4.30382153706,33.171248932,12.0722317935,3.89282518568
"[-13.0, 70.0, 40.0, 30.0]",20.3064516643,34.8833981258,13.3090941639,17.0823416455
"[36.0, 42.0, 0.0, 42.0]",36.9315972692,-0.771750497821,-3.51399863954,18.9253518615
"[41.0, 46.0, 10.0, 36.0]",-18.1112731255,-18.0529364777,-19.538839407,-18.3290098708
"[27.0, 40.0, 15.0, 25.0]",-31.3133255399,-32.0133587544,-36.1318476112,-32.3242375774
"[74.0, 80.0, 0.0, 80.0]",-43.4144454866,-44.6635394899,-45.1380461279,-44.9209878
"[6.0, 16.0, 0.0, 16.0]",-52.8598768109,-56.6244958909,-57.3100387868,-56.4829058406
"[14.0, 54.0, 28.0, 26.0]",-34.0256875419,-30.3724942645,-39.2518632127,-34.7802707029
"[-11.0, 25.0, 11.0, 14.0]",-32.6883709427,-26.2662154401,-40.632149405,-39.1862231944
